iter	Logloss
320	0.3674376143
321	0.3670598383
322	0.3667913733
323	0.3663084273
324	0.365932927
325	0.3655932793
326	0.3653443634
327	0.3650267271
328	0.364742593
329	0.3644303289
330	0.3640455391
331	0.3636902221
332	0.3632896139
333	0.3629366473
334	0.3626936634
335	0.362438256
336	0.3620717469
337	0.3616572602
338	0.3613105986
339	0.3609577067
340	0.360916743
341	0.3604681946
342	0.360223681
343	0.3599824878
344	0.3597587173
345	0.3593088258
346	0.3590413681
347	0.3588604639
348	0.3584444103
349	0.3579688139
350	0.3574396439
351	0.3570685832
352	0.3566702134
353	0.3564087995
354	0.3561782017
355	0.3557991198
356	0.3555754239
357	0.3553293807
358	0.3551263905
359	0.3548767658
360	0.3544309408
361	0.3541584839
362	0.354008918
363	0.3537422065
364	0.3533021641
365	0.352952891
366	0.3524575216
367	0.3522042781
368	0.3518382166
369	0.3513535918
370	0.3511919756
371	0.3507359283
372	0.3504280666
373	0.3499955604
374	0.3495908856
375	0.3493290241
376	0.3490638794
377	0.3485618693
378	0.3481452188
379	0.3478767538
380	0.3476707043
381	0.3471955183
382	0.3468925812
383	0.3465366673
384	0.3462429825
385	0.3459425076
386	0.3459296738
387	0.3456825487
388	0.3451162204
389	0.344835332
390	0.3444483037
391	0.3440867937
392	0.343736961
393	0.3434094382
394	0.3431262367
395	0.3426341131
396	0.3423373317
397	0.342066964
398	0.3417924925
399	0.3412851101
400	0.3409557592
401	0.3406877419
402	0.3403824917
403	0.3400609754
404	0.3398166111
405	0.3394666665
406	0.3393034833
407	0.3388030401
408	0.3384386575
409	0.3380958386
410	0.3377507066
411	0.3374041196
412	0.3369621
413	0.3367542971
414	0.3362500858
415	0.3361709192
416	0.3360604889
417	0.3358174677
418	0.3356171636
419	0.3352806496
420	0.3350384864
421	0.3347331616
422	0.334385157
423	0.334036257
424	0.3336116973
425	0.3334301961
426	0.3331948975
427	0.3329465413
428	0.3327008712
429	0.3324285262
430	0.3320719782
431	0.3318463049
432	0.3315511277
433	0.3312222992
434	0.3310030801
435	0.3306614924
436	0.3304225376
437	0.3302636449
438	0.3300062975
439	0.3297832731
440	0.3296488168
441	0.3291238252
442	0.328970342
443	0.3287104577
444	0.3282653789
445	0.3280613813
446	0.3278580553
447	0.3276446562
448	0.327206815
449	0.3266440683
450	0.3263642618
451	0.3259887615
452	0.325931569
453	0.3255997559
454	0.3252654058
455	0.3249808239
456	0.3247239243
457	0.3245730526
458	0.3241403599
459	0.3237012502
460	0.3234513644
461	0.32305001
462	0.3227990795
463	0.3224947247
464	0.322313634
465	0.322102063
466	0.32171981
467	0.32118385
468	0.3207895094
469	0.3204080399
470	0.3199897852
471	0.3198016806
472	0.3197888468
473	0.3194531537
474	0.3192394935
475	0.3190182225
476	0.318761584
477	0.318359558
478	0.3180451302
479	0.3176581019
480	0.3174228406
481	0.3173005465
482	0.3170581968
483	0.31683271
484	0.316637629
485	0.3162251196
486	0.3159303528
487	0.3157407932
488	0.3154700152
489	0.3152869098
490	0.3148469048
491	0.314570941
492	0.3143439993
493	0.3139874139
494	0.3136876106
495	0.3135393132
496	0.3134157506
497	0.313113
498	0.3127947481
499	0.3125793531
500	0.3121462873
501	0.3119893345
502	0.3119420472
503	0.3114882944
504	0.3111980045
505	0.3109381949
506	0.3106113063
507	0.3104604906
508	0.3100933658
509	0.3098537955
510	0.3095496645
511	0.3092703431
512	0.3090579886
513	0.30881978
514	0.308596196
515	0.308287644
516	0.3079345283
517	0.3076934657
518	0.3074860731
519	0.3072119747
520	0.3070236276
521	0.3066985484
522	0.3064134256
523	0.3061724563
524	0.3059019021
525	0.3056974941
526	0.3053363572
527	0.3050799799
528	0.3048305604
529	0.304655271
530	0.3044051426
531	0.3042867099
532	0.3041278544
533	0.303979557
534	0.3037254927
535	0.3035805529
536	0.3033562414
537	0.3032175133
538	0.3029507832
539	0.3026630302
540	0.3024998843
541	0.3021437653
542	0.3019525642
543	0.3018075499
544	0.3014944464
545	0.3011822383
546	0.3009501855
547	0.3007439868
548	0.3005692196
549	0.3003148009
550	0.3000834943
551	0.2999183711
552	0.2996397771
553	0.2994928414
554	0.2992376393
555	0.2989043898
556	0.298593674
557	0.2983311969
558	0.2980803783
559	0.2977584703
560	0.2975158408
561	0.297319342
562	0.2971215188
563	0.2968252597
564	0.2966010042
565	0.296394936
566	0.2961563544
567	0.2960391714
568	0.2957442181
569	0.2955456674
570	0.2954651951
571	0.2952491471
572	0.295053264
573	0.2949113275
574	0.2947228498
575	0.2943907195
576	0.2941901729
577	0.2938955553
578	0.2934810687
579	0.2931208272
580	0.2928508699
581	0.292546515
582	0.292456977
583	0.2922450702
584	0.2919239643
585	0.2914460175
586	0.2910490467
587	0.2908554766
588	0.2905824228
589	0.2904715075
590	0.2902510386
591	0.2900339275
592	0.2897822509
593	0.2895359652
594	0.2891003252
595	0.2888934363
596	0.2885849776
597	0.2884694362
598	0.2883274437
599	0.2879946605
600	0.2877649581
601	0.2875744472
602	0.2873991391
603	0.2872793633
604	0.2870785368
605	0.2868878953
606	0.2867147511
607	0.2865954043
608	0.2863911456
609	0.2861440578
610	0.2857762056
611	0.2855332216
612	0.2852537509
613	0.2849498438
614	0.2846986895
615	0.2843861456
616	0.28395183
617	0.283625128
618	0.2834504168
619	0.2833072492
620	0.2830094791
621	0.2827072881
622	0.2825278202
623	0.2822701744
624	0.2819366078
625	0.2817635941
626	0.2815585146
627	0.2813757823
628	0.2810724348
629	0.2809837175
630	0.2807961539
631	0.2805172241
632	0.2803543768
633	0.2801631757
634	0.2799818238
635	0.2796975404
636	0.2795448407
637	0.2792581323
638	0.2789157797
639	0.278658563
640	0.2784057298
641	0.278269632
642	0.2781275276
643	0.2778013478
644	0.2775759731
645	0.2773599998
646	0.2771791702
647	0.2769570038
648	0.2768009837
649	0.2765716357
650	0.2762749102
651	0.2760542922
652	0.2757756236
653	0.2754880198
654	0.2753377451
655	0.2751167726
656	0.2748450991
657	0.2745653859
658	0.2742483279
659	0.2741294474
660	0.2738372735
661	0.2735986545
662	0.2734430821
663	0.2732552387
664	0.2729400647
665	0.2726858885
666	0.2722549865
667	0.2719863723
668	0.2717880828
669	0.2715152715
670	0.2711449569
671	0.270869702
672	0.2707527242
673	0.2704817596
674	0.2700721975
675	0.269847345
676	0.2696743873
677	0.269432504
678	0.269310527
679	0.2690568544
680	0.2688979057
681	0.2688696639
682	0.2686542129
683	0.2685355004
684	0.2684499542
685	0.2681521655
686	0.2677913457
687	0.2675630982
688	0.2672163807
689	0.266988413
690	0.2667821397
691	0.2665844284
692	0.2664272705
693	0.2662259777
694	0.2659441939
695	0.2657844244
696	0.2654137741
697	0.2651822809
698	0.2649381217
699	0.2647841162
700	0.264681763
701	0.2644043442
702	0.2641139797
703	0.2638641125
704	0.2635067064
705	0.2632352941
706	0.2629517196
707	0.2626068861
708	0.2625248095
709	0.2623716994
710	0.2621888552
711	0.2618473421
712	0.2616547046
713	0.2615325784
714	0.2613880491
715	0.2611816638
716	0.2609284203
717	0.260669021
718	0.2604042868
719	0.2602244645
720	0.2599325517
721	0.2596428774
722	0.2594402975
723	0.2591197512
724	0.2589690661
725	0.2585971473
726	0.2585072362
727	0.2581616938
728	0.2579833079
729	0.2577421893
730	0.2577250278
731	0.2576104004
732	0.2574313989
733	0.2572247525
734	0.257090576
735	0.2569234942
736	0.2567783679
737	0.2564881899
738	0.256311147
739	0.2562163859
740	0.2560475134
741	0.2557276386
742	0.2555575536
743	0.2553164723
744	0.2551162615
745	0.2549700719
746	0.2548254679
747	0.2547611124
748	0.2545250304
749	0.2545167108
750	0.2543728903
751	0.2541745261
752	0.2539174772
753	0.2537250077
754	0.2533682544
755	0.2531830412
756	0.2529202096
757	0.2526991998
758	0.2524961722
759	0.2523773291
760	0.2521585204
761	0.2519406818
762	0.2518024014
763	0.2516282872
764	0.2514170892
765	0.2512518169
766	0.2509454288
767	0.2507708668
768	0.2505490922
769	0.2504353229
770	0.2503478554
771	0.2501166793
772	0.2499911022
773	0.2497127134
774	0.2494767432
775	0.2493494872
776	0.2493161903
777	0.249127694
778	0.248901629
779	0.2487191952
780	0.2484424852
781	0.2482314552
782	0.2480307966
783	0.2478381778
784	0.2476227642
785	0.2475291036
786	0.2474245493
787	0.2471835799
788	0.2470319994
789	0.2468790758
790	0.2467361134
791	0.2465063736
792	0.2462645649
793	0.2460675624
794	0.2457015383
795	0.2454068834
796	0.2449814097
797	0.2448510945
798	0.2446264845
799	0.2443887236
800	0.2440486654
801	0.2439524307
802	0.2438472421
803	0.2437113494
804	0.2435339148
805	0.2433656019
806	0.2432231804
807	0.2429071669
808	0.2426642576
809	0.242330579
810	0.2421415045
811	0.2418863956
812	0.2417341249
813	0.2415684422
814	0.2414320085
815	0.2411670691
816	0.2410041471
817	0.2408878595
818	0.2407991049
819	0.2405922533
820	0.2402496769
821	0.2400703583
822	0.2398324855
823	0.2396782188
824	0.2395423448
825	0.2393009464
826	0.239169997
827	0.2389847651
828	0.2387891244
829	0.2385647569
830	0.2383735558
831	0.2383018134
832	0.2379891204
833	0.2378453185
834	0.2376963868
835	0.2374594654
836	0.237282124
837	0.2371272605
838	0.2369983256
839	0.2368927453
840	0.2365890993
841	0.2363404446
842	0.2360337021
843	0.235771654
844	0.2355598592
845	0.235385148
846	0.2352587688
847	0.2349881772
848	0.2347988975
849	0.2346120054
850	0.2344406706
851	0.2341273619
852	0.23394989
853	0.2337758504
854	0.2335499906
855	0.2333168931
856	0.2331762065
857	0.2329995926
858	0.232733478
859	0.2326503008
860	0.2324167184
861	0.2322129633
862	0.2320420948
863	0.2317426832
864	0.2316830285
865	0.2314079787
866	0.231162719
867	0.2309706599
868	0.2306572953
869	0.2304501265
870	0.2302352911
871	0.230050451
872	0.2297812212
873	0.2295502503
874	0.2293647386
875	0.2291927695
876	0.2289741101
877	0.2287248211
878	0.2285917265
879	0.2283673031
880	0.2281483265
881	0.2279479105
882	0.2278534851
883	0.2276274761
884	0.2273955538
885	0.2272257113
886	0.2269956358
887	0.2268399514
888	0.2266998617
889	0.2264522702
890	0.2262207397
891	0.2260542175
892	0.2259430038
893	0.2257665205
894	0.2255463874
895	0.2254297081
896	0.2253025081
897	0.2251332252
898	0.225011584
899	0.2247524832
900	0.2245776414
901	0.2245073168
902	0.2242341883
903	0.2241373007
904	0.2238950256
905	0.2236529557
906	0.2234094681
907	0.2232130812
908	0.2230064535
909	0.222774867
910	0.2226217382
911	0.2224030042
912	0.2223025909
913	0.2220424455
914	0.2218606832
915	0.2217014547
916	0.2215408085
917	0.2214233084
918	0.221167472
919	0.2210257034
920	0.2208606922
921	0.2206963152
922	0.2205564493
923	0.2203074588
924	0.2201429699
925	0.2199455012
926	0.2196896834
927	0.2194529485
928	0.2193780163
929	0.2191720414
930	0.2190307019
931	0.2189214841
932	0.2187789506
933	0.2185700098
934	0.2184070505
935	0.2182955756
936	0.2181349107
937	0.2179846547
938	0.2178452551
939	0.2175917131
940	0.2174763396
941	0.2172118851
942	0.2170024966
943	0.2168194099
944	0.216647217
945	0.2165338394
946	0.2164103888
947	0.2162842147
948	0.2160389737
949	0.2159090502
950	0.2156659916
951	0.2154802188
952	0.2152401262
953	0.2150880793
954	0.2149636401
955	0.2148069111
956	0.2146575318
957	0.2144776722
958	0.2142770323
959	0.2140368091
960	0.2138754913
961	0.2137912136
962	0.2136563656
963	0.2134491968
964	0.2132311903
965	0.213131803
966	0.2130245066
967	0.2128468854
968	0.2127471624
969	0.212568907
970	0.2123899055
971	0.2122364036
972	0.212011831
973	0.2117492046
974	0.2115438826
975	0.2114622351
976	0.2113056554
977	0.2109922348
978	0.2108128789
979	0.210533632
980	0.2104082787
981	0.2101639144
982	0.2100782936
983	0.209856948
984	0.2098172901
985	0.2097643507
986	0.209615531
987	0.2094491021
988	0.2092600648
989	0.2091985074
990	0.208959105
991	0.2087059734
992	0.2085017893
993	0.2083465153
994	0.208250579
995	0.2080744688
996	0.2079869827
997	0.2078467063
998	0.2077837312
999	0.2076204362
